"אשכול","#Cnt_File_ID_New","שם נזקקות","משפחות מקבלות שירות","אחוז משפחות מקבלות שירות מסך משפחות מקבלות שירות...","סך משפחות מקבלות שירות פעילות"
"בעיות הנגרמות ממאפינים",345,"מוגבלות",345,0.25,1380
"בעיות הנגרמות ממאפינים",263,"זקנה אזרח ותיק",263,0.19057971,1380
"בעיות הנגרמות ממאפינים",93,"אירוע ביטחון /חירום /אסונות טבע /מגיפה",93,0.067391304,1380
"בעיות הנגרמות ממאפינים",50,"טראומה מינית",50,0.036231884,1380
"בעיות הנגרמות ממאפינים",41,"התמכרויות",41,0.029710145,1380
"בעיות הנגרמות ממאפינים",27,"עליה והגירה",27,0.019565217,1380
"בעיות הנגרמות ממאפינים",24,"שכול ואובדן- תאונות דרכים / התאבדות/ רצח",24,0.017391304,1380
"עוני והדרה",65,"מצוקה כלכלית זמנית",65,0.047101449,1380
"עוני והדרה",61,"אי בטחון תזונתי",61,0.044202899,1380
"עוני והדרה",52,"עוני רב מימדי מתמשך",52,0.037681159,1380
"עוני והדרה",40,"בדידות ו/או העדר מערכות תמיכה",40,0.028985507,1380
"עוני והדרה",40,"קשיים בצריכת שירותים ובמיצוי זכויות",40,0.028985507,1380
"עוני והדרה",27,"בעיות בניהול תקציב משק הבית",27,0.019565217,1380
"עוני והדרה",24,"קשיים במימון מענים התפתחותיים חינוכיים של בני המשפחה",24,0.017391304,1380
"עוני והדרה",16,"קשיים במימון מענים פיזיים ובריאותיים",16,0.011594203,1380
"עוני והדרה",6,"בעיות דיור",6,0.004347826,1380
"עוני והדרה",6,"חוסר בציוד בסיסי",6,0.004347826,1380
"עוני והדרה",4,"קשיים בהשתלבות בקהילה דחיה ע"י אזרחים ו/או הדרה חברתית",4,0.002898551,1380
"קשיים ביחסים בתוך המשפחה",183,"קשיים בין הורים לבין ילדיהם",183,0.132608696,1380
"קשיים ביחסים בתוך המשפחה",71,"קשיים ביחסים בין כלל בני המשפחה",71,0.051449275,1380
"קשיים ביחסים בתוך המשפחה",66,"קשיים ביחסים שבין בני הזוג",66,0.047826087,1380
"קשיים ביחסים בתוך המשפחה",62,"ליקוי בתפקוד הורי לרבות קשיים בהשגחה והגנה",62,0.044927536,1380
"קשיים ביחסים בתוך המשפחה",62,"קונפליקט בעוצמה גבוהה על רקע פרוד/גרושין",62,0.044927536,1380
"קשיים ביחסים בתוך המשפחה",47,"בדידות ו/או העדר מערכות תמיכה",47,0.034057971,1380
"קשיים ביחסים בתוך המשפחה",39,"אלימות במשפחה",39,0.02826087,1380
"קשיים ביחסים בתוך המשפחה",36,"חוסר יציבות בהרכב משק הבית",36,0.026086957,1380
"קשיים ביחסים בתוך המשפחה",17,"קשיים בין ילדי המשפחה",17,0.012318841,1380
"קשיים ביחסים בתוך המשפחה",10,"קשיים ביחסים בין המשפחה הגרעינית למורחבת",10,0.007246377,1380
