"אשכול","_Cnt_Mekabli_Shirut_New","שם נזקקות","מקבלי שירות","אחוז מקבלי שירות מסך מקבלי שירות פעילים","סך מקבלי שירות פעילים","_Perc_No_Nizkakot_New2"
"אלימות, ניצול והזנחה",44,"חשד או נתון/ה לפגיעה מינית",44,0.023939064,1838,"(מהות נזקקות לפרט מסוג 'לא זוהתה נזקקות' - 2,653  (59.23% *"
"אלימות, ניצול והזנחה",25,"חשד או נתון/ה לאלימות ופגיעה משולבת",25,0.013601741,1838,"(מהות נזקקות לפרט מסוג 'לא זוהתה נזקקות' - 2,653  (59.23% *"
"אלימות, ניצול והזנחה",9,"חשד או נתון/ה לפגיעה רגשית או נפשית",9,0.004896627,1838,"(מהות נזקקות לפרט מסוג 'לא זוהתה נזקקות' - 2,653  (59.23% *"
"אלימות, ניצול והזנחה",6,"חשד או נתון/ה לאלימות פיזית",6,0.003264418,1838,"(מהות נזקקות לפרט מסוג 'לא זוהתה נזקקות' - 2,653  (59.23% *"
"אלימות, ניצול והזנחה",6,"פוגע/תוקף אלימות ופגיעה משולבת",6,0.003264418,1838,"(מהות נזקקות לפרט מסוג 'לא זוהתה נזקקות' - 2,653  (59.23% *"
"אלימות, ניצול והזנחה",4,"פוגע/תוקף לפגיעה מינית",4,0.002176279,1838,"(מהות נזקקות לפרט מסוג 'לא זוהתה נזקקות' - 2,653  (59.23% *"
"אלימות, ניצול והזנחה",2,"חשד או נתון/ה להזנחה בתחום הבריאות הפיזית או הנפשית",2,0.001088139,1838,"(מהות נזקקות לפרט מסוג 'לא זוהתה נזקקות' - 2,653  (59.23% *"
"אלימות, ניצול והזנחה",2,"פוגע/תוקף אלימות פיזית",2,0.001088139,1838,"(מהות נזקקות לפרט מסוג 'לא זוהתה נזקקות' - 2,653  (59.23% *"
"אלימות, ניצול והזנחה",1,"חשד או נתון/ה להזנחה בתחום הרגשי, קוגניטיבי והחברתי",1,0.00054407,1838,"(מהות נזקקות לפרט מסוג 'לא זוהתה נזקקות' - 2,653  (59.23% *"
"אלימות, ניצול והזנחה",1,"חשד או נתון/ה לפגיעה או ניצול כלכלי",1,0.00054407,1838,"(מהות נזקקות לפרט מסוג 'לא זוהתה נזקקות' - 2,653  (59.23% *"
