"אשכול","#Cnt_Mekabli_Shirut_New","שם נזקקות","מקבלי שירות","אחוז מקבלי שירות מסך מקבלי שירות פעילים","סך מקבלי שירות פעילים"
"אלימות, ניצול והזנחה",31,"חשד או נתון/ה לפגיעה מינית",31,0.063786008,486
"אלימות, ניצול והזנחה",2,"חשד או נתון/ה לאלימות פיזית",2,0.004115226,486
"אלימות, ניצול והזנחה",2,"חשד או נתון/ה להזנחה בתחום הבריאות הפיזית או הנפשית",2,0.004115226,486
"אלימות, ניצול והזנחה",1,"חשד או נתון/ה לפגיעה רגשית או נפשית",1,0.002057613,486
"אלימות, ניצול והזנחה",1,"פוגע/תוקף לפגיעה מינית",1,0.002057613,486
"התנהגויות סיכוניות, שוליות חברתית ועבריינות",20,"התנהגות סיכונית אחרת",20,0.041152263,486
"התנהגויות סיכוניות, שוליות חברתית ועבריינות",4,"התמכרות לחומרים פסיכואקטיביים (סמים או אלכוהול)",4,0.008230453,486
"התנהגויות סיכוניות, שוליות חברתית ועבריינות",4,"התנהגות מינית מסתכנת",4,0.008230453,486
"התנהגויות סיכוניות, שוליות חברתית ועבריינות",1,"שילוב של התמכרויות",1,0.002057613,486
"חסמים תפקודיים אישיים וחברתיים",221,"מצוקה רגשית",221,0.45473251,486
"חסמים תפקודיים אישיים וחברתיים",150,"קשיים בהתפתחות הילד",150,0.308641975,486
"חסמים תפקודיים אישיים וחברתיים",38,"קשיים במסגרת חינוכית (עד גיל 21)",38,0.0781893,486
"חסמים תפקודיים אישיים וחברתיים",8,"ניתוק ממסגרת לימודית תעסוקתית (עד גיל 21)",8,0.016460905,486
"חסמים תפקודיים אישיים וחברתיים",5,"בדידות ו/או העדר מערכות תמיכה",5,0.010288066,486
"חסמים תפקודיים אישיים וחברתיים",3,"קשיים בהשתלבות בקהילה/ חברה, דחיה ע"י אחרים ו/או הדרה חברתית",3,0.00617284,486
"חסמים תפקודיים אישיים וחברתיים",1,"יתום/ה או נטוש/ה או שאין אחראי עליו/ה",1,0.002057613,486
