"#ClientID_Goals","יעד","מקבלי שירות"
736,"הגברת הרווחה האישית ושיפור המצב הרגשי",736
365," הגברת השימוש בשירותים בקהילה",365
230,"הגברת הנגישות לשירותים ומשאבים",230
148,"הגברת הידע והמידע אודות שירותים ומשאבים",148
131,"הקטנת חסמים/ קשיים/ שילוב במסגרת תעסוקה",131
70,"הקטנת חסמים/ קשיים/ שילוב במסגרת חינוכית",70
69,"הגברת מצאי המשאבים והקשרים החברתיים",69
55,"הקטנת רמת סיכון בהתמודדות על רקע התנהגויות סיכוניות",55
44,"הגברת המעורבות עם מערכות תמיכה בלתי פורמליות",44
40,"הפחתת הקונפליקטים עם מערכות חברתיות",40
40,"שיפור והקטנת רמת סיכון בהתמודדות עם קשיים על רקע בעיית התמכרויות בהיבטים הפיזיים, רגשיים, קוגניטיביים וחברתיים",40
38,"שילוב ועידוד לתוכניות לבוגרים צעירים (צבא, שירות לאומי, מכינות,ישיבות)",38
37,"שיפור המוגנות והפחתת נזקי הפגיעה בבן המשפחה הנפגע",37
33,"שיפור המוגנות והגברת החוסן המשפחתי בעקבות הפגיעה",33
29,"הגברת המעורבות וההשפעה על סוג ואיכות השירותים בקהילה",29
21,"שיפור בקשרים עם בן המשפחה החולה או המוגבל",21
17,"הפסקת הפגיעה הנפשית והגנה על בן המשפחה הנפגע",17
16,"הפחתת תחושת העומס והשחיקה הנובעים מטיפול באזרח ותיק או באדם עם מוגבלות",16
9,"הקטנת חסמים לשילוב במסגרות דיור",9
7,"הפסקת הפגיעה הפיזית והגנה על בן המשפחה הנפגע",7
6,"הפחתת המסוכנות של בן המשפחה הפוגע",6
6,"הפסקת הפגיעה המינית והגנה על בן המשפחה הנפגע",6
6,"הקטנת רמת סיכון בהתמודדות עם קשיים  על רקע עבריינות בהיבטים הפיזיים, רגשיים, קוגניטיביים וחברתיים",6
3,"הפחתת המסוכנות של הלקוח הפוגע בכל אחד מסוגי הפגיעה",3
3,"הפסקת התנהגויות של סיכון עצמי",3
3,"שיפור בקשרים עם האזרח ותיק במשפחה",3
2,"הפסקת הניצול הכספי והגנה על בן המשפחה הנפגע",2
1,"שיפור בקשרים עם בן המשפחה המכור/דר רחוב/עוסק בזנות/בעל התנהגות סיכונית",1
