"MISGEROT_ALL_FIX","סוג מסגרת","ADMIN_DESC","UNIT_DESC","Arrangement_Type_Descr","מספר מסגרות ברשות הנוכחית","מספר מסגרות ברשות אחרת"
17,"תעסוקה מוגנת )מע"ש(","מינהל מוגבלויות","אגף משה","בקהילה",2,15
13,"מעון יום","מינהל מוגבלויות","אגף משה","בקהילה",2,11
13,"מעון יום","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",12,1
13,"מערך דיור/דירת לוין","מינהל מוגבלויות","אגף משה","חוץ ביתי",1,12
10,"פנימיה","מינהל שירותים אישיים וחברתיים","ילד ונוער","חוץ ביתי",0,10
7,"מערך דיור/דירת לוין","מינהל מוגבלויות","שיקום ונכים","חוץ ביתי",1,6
5,"דירת המשך","מינהל שלם","נשים ונערות","חוץ ביתי",0,5
5,"פנימיה","מינהל מוגבלויות","אגף משה","חוץ ביתי",0,5
5,"פנימיה","מינהל מוגבלויות","אוטיסטים","חוץ ביתי",0,5
4,"מועדון/מרכז קהילתי","מינהל אזרחים ותיקים","אזרחים ותיקים","בקהילה",3,1
4,"מרכז טיפולי","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",4,0
3,"הוסטל","מינהל מוגבלויות","אגף משה","חוץ ביתי",1,2
3,"טיפול יום","מינהל שלם","נפגעי התמכרויות","בקהילה",3,0
3,"מועדונית","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",2,1
3,"מעון יום","מינהל מוגבלויות","אוטיסטים","בקהילה",0,3
3,"מרכז טיפולי","מינהל שירותים אישיים וחברתיים","רווחת הפרט ומש`","בקהילה",1,2
3,"מש` אומנה","מינהל שירותים אישיים וחברתיים","ילד ונוער","חוץ ביתי",1,2
2,"מעון יום","מינהל מוגבלויות","שיקום ונכים","בקהילה",1,1
2,"מעטפת","מינהל מוגבלויות","שיקום ונכים","בקהילה",1,1
2,"מערך דיור/דירת לוין","מינהל מוגבלויות","אוטיסטים","חוץ ביתי",0,2
2,"מרכז טיפולי","מינהל מוגבלויות","שיקום ונכים","בקהילה",0,2
2,"תחנה לטיפול המשפחה","מינהל שירותים אישיים וחברתיים","רווחת הפרט ומש`","בקהילה",2,0
1,"בית חם","מינהל שלם","נוער וצעירים","בקהילה",1,0
1,"בית חם","מינהל שלם","נשים ונערות","בקהילה",1,0
1,"הוסטל","מינהל מוגבלויות","אוטיסטים","חוץ ביתי",0,1
1,"טיפול יום","מינהל שלם","שיקום הנוער","בקהילה",0,1
1,"מועדון/מרכז קהילתי","מינהל מוגבלויות","אוטיסטים","בקהילה",0,1
1,"מועדון/מרכז קהילתי","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",1,0
1,"מועדון/מרכז קהילתי","מינהל שלם","נוער וצעירים","בקהילה",0,1
1,"מועדונית שיקומית","מינהל מוגבלויות","שיקום ונכים","בקהילה",0,1
1,"מעון יום","מינהל מוגבלויות","השרות לעיוור","בקהילה",0,1
1,"מרכז הורים ילדים","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",0,1
1,"מרכז חירום","מינהל שירותים אישיים וחברתיים","ילד ונוער","חוץ ביתי",0,1
1,"מרכז למניעת אלימות","מינהל שירותים אישיים וחברתיים","רווחת הפרט ומש`","בקהילה",1,0
1,"מרכז רב שרותים","מינהל מוגבלויות","השרות לעיוור","בקהילה",0,1
1,"מרכז שיקום","מינהל מוגבלויות","אוטיסטים","בקהילה",0,1
1,"נופשון","מינהל מוגבלויות","אגף משה","בקהילה",0,1
1,"סביבה תומכת","מינהל אזרחים ותיקים","אזרחים ותיקים","בקהילה",1,0
1,"סדנאות מעבר","מינהל מוגבלויות","שיקום ונכים","בקהילה",0,1
1,"פנימיה","מינהל אזרחים ותיקים","אזרחים ותיקים","חוץ ביתי",0,1
1,"פנימיה","מינהל מוגבלויות","השרות לעיוור","חוץ ביתי",0,1
1,"פנימיה","מינהל שלם","חסות הנוער","חוץ ביתי",0,1
1,"קהילה טיפולית","מינהל שלם","חסות הנוער","חוץ ביתי",0,1
1,"שילוב בתעסוקה","מינהל שלם","נוער וצעירים","בקהילה",1,0
1,"תוכנית מעבר","מינהל מוגבלויות","שיקום ונכים","בקהילה",0,1
1,"תמיכה ביתית","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",1,0
1,"תעסוקה מוגנת )מע"ש(","מינהל מוגבלויות","שיקום ונכים","בקהילה",0,1
1,"תעסוקה ניתמכת","מינהל מוגבלויות","שיקום ונכים","בקהילה",0,1
