"All_Authorities","סוג מסגרת","ADMIN_DESC","UNIT_DESC","Arrangement_Type_Descr","מושמים ברשות הנוכחית","מושמים ברשות אחרת"
166,"מרכז טיפולי","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",160,6
84,"מועדון/מרכז קהילתי","מינהל אזרחים ותיקים","אזרחים ותיקים","בקהילה",84,0
80,"מועדון/מרכז קהילתי","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",80,0
65,"מעון יום","מינהל מוגבלויות","אגף משה","בקהילה",25,40
50,"סביבה תומכת","מינהל אזרחים ותיקים","אזרחים ותיקים","בקהילה",32,18
44,"טיפול יום","מינהל שלם","נפגעי התמכרויות","בקהילה",41,3
42,"הוסטל","מינהל מוגבלויות","אגף משה","חוץ ביתי",7,35
39,"מעטפת","מינהל מוגבלויות","שיקום ונכים","בקהילה",39,0
37,"מעון יום","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",34,3
35,"תעסוקה מוגנת )מע"ש(","מינהל מוגבלויות","אגף משה","בקהילה",11,24
27,"מועדונית","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",27,0
26,"תחנה לטיפול המשפחה","מינהל שירותים אישיים וחברתיים","רווחת הפרט ומש`","בקהילה",22,4
25,"מרכז טיפולי","מינהל שירותים אישיים וחברתיים","רווחת הפרט ומש`","בקהילה",23,2
22,"מש` אומנה","מינהל שירותים אישיים וחברתיים","ילד ונוער","חוץ ביתי",1,21
17,"מערך דיור/דירת לוין","מינהל מוגבלויות","שיקום ונכים","חוץ ביתי",5,12
16,"מעון יום","מינהל מוגבלויות","שיקום ונכים","בקהילה",5,11
16,"מרכז למניעת אלימות","מינהל שירותים אישיים וחברתיים","רווחת הפרט ומש`","בקהילה",16,0
15,"בית חם","מינהל שלם","נוער וצעירים","בקהילה",15,0
11,"שילוב בתעסוקה","מינהל שלם","נוער וצעירים","בקהילה",10,1
9,"בית חם","מינהל שלם","נשים ונערות","בקהילה",9,0
4,"מערך דיור/דירת לוין","מינהל מוגבלויות","אגף משה","חוץ ביתי",1,3
2,"מש` אומנה","מינהל מוגבלויות","שיקום ונכים","חוץ ביתי",0,2
2,"תמיכה ביתית","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",2,0
