"#Cnt_Patient_Id_Calc","ארץ מוצא","מספר אזרחים ותיקים"
524,"ישראל",524
301,"ארצות הברית",301
238,"ברית המועצות",238
51,"מרוקו",51
40,"הממלכה המאוחדת",40
32,"צרפת",32
25,"תוניסיה",25
24,"רומניה",24
20,"דרום אפריקה",20
18,"ארגנטינה",18
17,"אלגיריה",17
14,"קנדה",14
12,"הולנד",12
12,"עירק",12
10,"פרו",10
9,"ברזיל",9
9,"פולין",9
7,"הודו",7
6,"גרמניה",6
5,"אירן",5
5,"הונגריה",5
5,"קולומביה",5
5,"רוסיה",5
5,"שוויץ",5
4,"בלגיה",4
4,"מצרים",4
4,"תימן",4
3,"אוסטריה",3
3,"אוסטרליה",3
3,"מקסיקו",3
3,"צ'ילה",3
2,"אירלנד",2
2,"דנמרק",2
2,"ונצואלה",2
2,"יהודה ושומרון",2
2,"לבנון",2
2,"סוריה",2
2,"ספרד",2
2,"צכוסלובקיה",2
2,"קובה",2
2,"שוודיה",2
2,"תורכיה",2
1,"אוזבקיסטן",1
1,"אורגוואי",1
1,"איטליה",1
1,"אפגניסטן",1
1,"בילורוסיה",1
1,"יוון",1
1,"יפן",1
1,"לוב",1
1,"מולדובה",1
1,"מלזיה",1
1,"נורווגיה",1
1,"ניו זילנד",1
1,"סין",1
1,"סרי לנקה )צילון(",1
1,"פיליפינים",1
1,"פינלנד",1
1,"קמבודיה",1
