"#Total_Payments_Broto_Meser_MTS_DR_Year_Max","תכנית","Sub_Regulation_Name","תכנון","ביצוע","ביצוע אשתקד"
211493,"מועדון מועשר","הזדקנות מיטבית קהילה 243419",198900,211492.86,242663.46
45487,"מועדון מופת","הזדקנות מיטבית קהילה 243419",38800,45487,57676.68
20865,"קהילה תומכת","הזדקנות מיטבית קהילה 243419",10800,20864.57,2840.27
10500,"מוקד שייכות","הזדקנות מיטבית קהילה 243419",52770,10500,
6393,"קהילה תומכת ניצולי שואה","שירותים לניצולי שואה 243438",8640,6392.82,5644.9
6360,"מועדון מועשר","שירותים לניצולי שואה 243438",,6360,6670
5096,"נופשונים","הזדקנות מיטבית קהילה 243419",1565,5096,16788
," ","הזדקנות מיטבית קהילה 243419",,,
," ","שירותים לניצולי שואה 243438",,,
,"בני משפחה מטפלים","הזדקנות מיטבית קהילה 243419",833.333333333,,
,"הפגות לניצולי שואה","שירותים לניצולי שואה 243438",,,
,"הפגות לניצולי שואה (+סופ"ש)","שירותים לניצולי שואה 243438",,,
,"הפגת בדידות בסופ"ש","שירותים לניצולי שואה 243438",,,
,"חרבות ברזל","הזדקנות מיטבית קהילה 243419",2916.666666667,,
,"טיפול באזרח ותיק בסיכון","הזדקנות מיטבית קהילה 243419",,,
,"מועדון נצל"ש (קפה אירופה, קפה בריטניה, בתים חמים וכדו')","שירותים לניצולי שואה 243438",7083.333333333,,
,"מיזמי הפגת בדידות","הזדקנות מיטבית קהילה 243419",,,
,"מניעת התעללות והזנחה","הזדקנות מיטבית קהילה 243419",5000,,
,"מרותקי בית נצלש","שירותים לניצולי שואה 243438",,,
,"מרכזי היום","הזדקנות מיטבית קהילה 243419",,,
,"מרכזי היום","שירותים לניצולי שואה 243438",,,
,"נופשונים","שירותים לניצולי שואה 243438",,,
,"ניצולי שואה - כללי","שירותים לניצולי שואה 243438",,,
,"סל תכנון בגישה קהילתית","הזדקנות מיטבית קהילה 243419",,,
,"סל"ב","שירותים לניצולי שואה 243438",,,
,"שירותים לניצולי שואה: קפה אירופה, סלב, בתים חמים, כללי","שירותים לניצולי שואה 243438",,,
,"תוכניות ייעודיות: הפגת בדידות וקידום שייכות, מניעת סיכון, שימור ושיפור תפקוד","הזדקנות מיטבית קהילה 243419",25000,,
,"תוכניות ייעודיות: הפגת בדידות וקידום שייכות, מניעת סיכון, שימור ושיפור תפקוד","שירותים לניצולי שואה 243438",,,
,"תוכנית מז"ל","הזדקנות מיטבית קהילה 243419",,,
