"ילדים בסיכון  מקבלי שירות","אנשים עם  מוגבלויות  מקבלי שירות","עולים חדשים  מקבלי שירות","מקבלי שירות  65+","למ"ס  65+","מקבלי שירות  50-64","למ"ס  50-64","מקבלי שירות  20-49","למ"ס  20-49","מקבלי שירות  0-19","למ"ס  0-19","מספר משפחות  מקבלות שירות","מספר  מקבלי שירות","מספר  תושבים  למ"ס","אשכול  סוציו  אקונומי","שם ישוב/אזור"
"73","64","19","98","316","52","384","162","1,276","163","1,070","193","475","3,046","7","אלון שבות"
"77","47","8","29","141","32","324","113","946","155","1,202","95","329","2,615","7","אלעזר"
"117","13","0","11","5","9","19","125","420","205","763","65","350","1,228","3","אספר"
"225","34","24","19","68","47","135","250","649","348","872","205","664","1,730","3","בת עין"
"21","13","0","18","140","13","216","33","609","52","683","43","116","1,656","7","הר גילה"
"13","10","0","6","77","2","72","27","395","44","819","19","79","1,370","4","כפר עציון"
"41","23","1","6","7","17","91","70","373","76","500","50","169","979","5","כרמי צור"
"16","8","7","1","16","3","40","25","291","29","222","15","58","572","3","מגדל עוז"
"130","12","13","5","0","18","28","127","308","203","560","75","353","906","2","מעלה עמוס"
"64","41","16","26","139","49","302","121","875","132","1,038","101","328","2,355","7","נווה דניאל"
"166","39","20","62","105","63","189","185","1,204","262","1,590","176","572","3,093","5","נוקדים"
"40","18","0","9","56","24","250","49","684","59","655","47","141","1,649","7","קדר"
"19","14","1","7","30","10","61","35","362","52","518","31","104","978","7","ראש צורים"
"200","40","13","95","206","53","277","264","1,562","357","2,281","265","769","4,326","6","תקוע"
