"סכום  לתשלום","סה"כ  מסגרות","מספר מסגרות  ברשויות אחרות","מספר מסגרות  ברשות הנבחרת","סה"כ  מושמים","מספר מושמים  ברשויות אחרות","מספר מושמים  ברשות הנבחרת","סעיף תקציבי","סוג מסגרת","סוג סידור","יחידה אחראית","מינהל"
1769,3,1,2,3,1,2,"0243418  מגן זהב הפגת בדידות","מועדון/מרכז קהילתי","בקהילה","אזרחים ותיקים","מינהל אזרחים ותיקים"
46157,4,1,3,92,10,82,"0243419  הזדקנות מיטבית קהילה","מועדון/מרכז קהילתי","בקהילה","אזרחים ותיקים","מינהל אזרחים ותיקים"
1153.55,1,0,1,8,0,8,"0243418  מגן זהב הפגת בדידות","סביבה תומכת","בקהילה","אזרחים ותיקים","מינהל אזרחים ותיקים"
3576,1,0,1,24,0,24,"0243419  הזדקנות מיטבית קהילה","סביבה תומכת","בקהילה","אזרחים ותיקים","מינהל אזרחים ותיקים"
12470,1,1,0,1,1,0,"0242410  אחזקה במעונות-א.ותיק","פנימיה","חוץ ביתי","אזרחים ותיקים","מינהל אזרחים ותיקים"
136447,11,9,2,35,13,22,"0722041  מ.יום טיפולי משה","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
2420,1,1,0,1,1,0,"0723030  מס' יום לילד המוגבל","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
4714,1,1,0,1,1,0,"0723224  מרכזי יום לנכים קשים","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
11085,2,0,2,3,0,3,"0723225  מרכזי יום ותעסוקה לבוגרים","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
9380,1,1,0,10,10,0,"0723056  נופשונים לבעלי מוגבלויות","נופשון","בקהילה","אגף משה","מינהל מוגבלויות"
39334,9,7,2,15,10,5,"0722042  מעשים","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
23764,7,5,2,9,7,2,"0723220  תעסוקה מוגנת למוגבל","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
32169,7,6,1,12,8,4,"0723225  מרכזי יום ותעסוקה לבוגרים","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
104071,1,0,1,7,0,7,"0721030  סידור במעונות משה","הוסטל","חוץ ביתי","אגף משה","מינהל מוגבלויות"
23579,2,2,0,2,2,0,"0723020  החזקת אוטיסטים במסגרות","הוסטל","חוץ ביתי","אגף משה","מינהל מוגבלויות"
149026,6,6,0,10,10,0,"0721030  סידור במעונות משה","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
46628.1,2,2,0,3,3,0,"0723010  אחזקת נכים בפנימיות","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
218498.91,9,8,1,15,14,1,"0723020  החזקת אוטיסטים במסגרות","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
95310,4,4,0,5,5,0,"0721030  סידור במעונות משה","פנימיה","חוץ ביתי","אגף משה","מינהל מוגבלויות"
