"מספר מושמים  ברשויות אחרות","מספר מושמים  ברשות הנבחרת","רשות  מסגרת/שלוחה","שם שלוחה","שם מסגרת","סמל מסגרת","תוכנית","סוג מסגרת","סוג סידור","יחידה אחראית","מינהל"
0,26,"גוש עציון"," ","מועדון מועשר-תקוע",209332,"מועדון מועשר","מועדון/מרכז קהילתי","בקהילה","אזרחים ותיקים","מינהל אזרחים ותיקים"
0,28,"גוש עציון"," ","מועדון מועשר-ג.עציון",211216,"מועדון מועשר","מועדון/מרכז קהילתי","בקהילה","אזרחים ותיקים","מינהל אזרחים ותיקים"
0,30,"גוש עציון"," ","מועדון מופ"ת תקוע",214799,"מועדון מועשר","מועדון/מרכז קהילתי","בקהילה","אזרחים ותיקים","מינהל אזרחים ותיקים"
11,0,"אפרת"," ","מועדון מופת-אפרת",210619,"מועדון מופת","מועדון/מרכז קהילתי","בקהילה","אזרחים ותיקים","מינהל אזרחים ותיקים"
0,32,"גוש עציון"," ","קהילה תומכת קשישים",221812,"קהילה תומכת","סביבה תומכת","בקהילה","אזרחים ותיקים","מינהל אזרחים ותיקים"
1,0,"ירושלים"," ","ב.אבות פ.שלושת אבות",5483,"בית אבות","פנימיה","חוץ ביתי","אזרחים ותיקים","מינהל אזרחים ותיקים"
0,18,"גוש עציון"," ","שלווה-מ יום גוש עציו",201629,"מועדונית לאנשים עם מוגבלות","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"ביתר עילית"," ","רמת דוד-מ.יום ביתר ע",208902,"מועדונית לאנשים עם מוגבלות","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"בית שמש"," ","פתחיה- מ יום בית שמש",210554,"מועדונית לאנשים עם מוגבלות","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים"," ","שלוה-מ יום טיפולי ים",231001,"מועדונית לאנשים עם מוגבלות","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
3,0,"ירושלים"," ","מ.י.א אקים י-ם טפולי",231009,"מועדונית לאנשים עם מוגבלות","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
0,7,"גוש עציון"," ","שילוב באמונה )ע"ר(",207955,"מרכז יום לבוגרים","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים"," ","מעון יום +21-שק"ל",209095,"מרכז יום לבוגרים","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"עמק יזרעאל"," ","עמותת קמ"ה-מ.יום 21",218319,"מרכז יום לבוגרים","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"נחל שורק"," ","מרכז יום נחל שורק",218822,"מרכז יום לבוגרים","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
2,0,"ירושלים"," ","מרכז יום שיח סוד בנו",221055,"מרכז יום לבוגרים","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
2,0,"ירושלים"," ","אלווין-מרכז יום סבא",231017,"מרכז יום לבוגרים","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים"," ","אלווין-מעון יום",231025,"מרכז יום לבוגרים","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"קרית אונו"," ","אלין סיעודי בית נועם",233040,"מרכז יום לבוגרים","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
10,0,"ירושלים"," ","שלווה-נופשון ים",200294,"נופשון לאנשים עם מוגבלות","נופשון","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים"," ","מע"ש עלי שיח",204611,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
0,5,"גוש עציון"," ","שילוב באמונה-מע"ש",207084,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
3,0,"ירושלים"," ","מע"ש-מכון פוירשטיין",209028,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"יבנה"," ","מע"ש אדיר סחר-אקים",209207,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
3,0,"ירושלים"," ","מעש תעשייתי-ח.מתנסים",209208,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים"," ","מע"ש תעשיתי שק"ל-י-ם",209319,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"מטה בנימין"," ","לב בנימין-רצף תעסוקה",214113,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
3,0,"ירושלים"," ","שלווה האגודה הישראלי",215004,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"תל אביב-יפו"," ","צ'יימס ישראל-מח"ר תע",216904,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים"," ","עלי שיח)ע"ר(",216976,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים"," ","אלווין ישראל-מע"ש תע",217044,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"משגב"," ","מע"ש כישורית",218389,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"הגלבוע"," ","מעש אקים גלבוע",218864,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
0,6,"גוש עציון"," ","שמעיה גוש עציון",219527,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
4,0,"תל אביב-יפו"," ","שק"ל מע"ש רמת החייל",220033,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים"," ","מעש אלווין",231022,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
2,0,"קרית מלאכי"," ",""אופק" -תעסוקה מוגנת",231024,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
1,0,"ראשון לציון"," ","בת עמי-מכינה ב'",14969,"דיור - מכינה","הוסטל","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים"," ","גוונים-מכינה ב' י-ם",15190,"דיור - מכינה","הוסטל","חוץ ביתי","אגף משה","מינהל מוגבלויות"
0,7,"גוש עציון"," ","שילוב באמונה-בת עין",5414,"הוסטל לאנשים עם מוגבלות","הוסטל","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים"," ","אלווין-מערך דיור",1192,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים"," ","שיח סוד-כרמים",3112,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים","אבא אבן 2","עלי שיח קהילה יחודית",10075,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים","השושנה 61-זוג","עלי שיח קהילה יחודית",10075,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים","כתב סופר","עלי שיח קהילה יחודית",10075,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"גזר","מוריה- נוף איילון","עלי שיח קהילה יחודית",10075,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
2,0,"ירושלים"," ","שלווה- קהילה יחודית",10076,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים","אברהם זקן 2","שלווה- קהילה יחודית",10076,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
2,0,"אפרת","אפרת","שלווה- קהילה יחודית",10076,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
2,0,"ירושלים","הנרייטה סולד 1","שלווה- קהילה יחודית",10076,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
2,0,"ירושלים","סאלד 5","שלווה- קהילה יחודית",10076,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
2,0,"ירושלים","שחראי 5","שלווה- קהילה יחודית",10076,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"מטה בנימין","הזית 3 בנים","לב בנימין",10329,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"חבל יבנה"," ","עלי מוריה קהילה יחוד",10471,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"קרית מלאכי","יצחק שניאורסון 60","יד לילד המיוחד  דיור",10728,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"קרני שומרון"," ","קרני שומרון קהילה יח",10788,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"מטה בנימין","אלון-הצבאים 17","אודי מרילי בע"מ",11155,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"לוד","אריה מידנק 7","אודי מרילי בע"מ",11155,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"קרית מלאכי","קרית מלאכי","אודי מרילי בע"מ",11155,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"פתח תקוה","בן צבי 6","שדה חמד ק. ייחודיות",11864,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
0,1,"גוש עציון","אלעזר","שמעיה",12438,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"אשדוד"," ","מעגלי תקווה -ערד",12914,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"נתניה","לפקין שחק","קבוצת שכולו טוב",15269,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים"," ","מרכז עדי",1766,"פנימיה לאנשים עם מוגבלות","פנימיה","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"ירושלים"," ","אלוין ים_כפר השבדי",1805,"פנימיה לאנשים עם מוגבלות","פנימיה","חוץ ביתי","אגף משה","מינהל מוגבלויות"
2,0,"אבו גוש"," ","מוסד ידידה",1823,"פנימיה לאנשים עם מוגבלות","פנימיה","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"טבריה","מעון גוונים","מעון רמת טבריה-גונים",8038,"פנימיה לאנשים עם מוגבלות","פנימיה","חוץ ביתי","אגף משה","מינהל מוגבלויות"
1,0,"ראש העין","חטיבת רותם","פרח לצמוח במקום טוב",12986,"פנימיה לאנשים עם מוגבלות","פנימיה","חוץ ביתי","אגף משה","מינהל מוגבלויות"
3,0,"מודיעין-מכבים-רעות"," ","חב'מתנסים-רעים-חל"צ",210389,"הארכת יום לימודים לאנשים עם מוגבלות","מועדון/מרכז קהילתי","בקהילה","אוטיסטים","מינהל מוגבלויות"
1,0,"ירושלים"," ","ס.ו.ל.ם-סיוע ועידוד",215080,"מעון יום שיקומי","מעון יום","בקהילה","אוטיסטים","מינהל מוגבלויות"
1,0,"ירושלים"," ","מעון מיתל י-ם-אלו"ט",203855,"מרכז יום לבוגרים","מעון יום","בקהילה","אוטיסטים","מינהל מוגבלויות"
4,0,"ירושלים"," ","עלי שיח- מ. יום וייס",203867,"מרכז יום לבוגרים","מעון יום","בקהילה","אוטיסטים","מינהל מוגבלויות"
1,0,"הרצליה"," ","צומת לקריירה-אלווין",216266,"מרכז שיקום","מרכז שיקום","בקהילה","אוטיסטים","מינהל מוגבלויות"
1,0,"ירושלים"," ","אלו"ט-בית אביב הוסטל",11079,"הוסטל לאנשים עם מוגבלות","הוסטל","חוץ ביתי","אוטיסטים","מינהל מוגבלויות"
1,0,"ירושלים"," ","עמותת שקל-אספרגר",4157,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אוטיסטים","מינהל מוגבלויות"
1,0,"ירושלים","לאה גולדברג","עמותת שקל-אספרגר",4157,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אוטיסטים","מינהל מוגבלויות"
1,0,"ירושלים","מאיר אריאל","עמותת שקל-אספרגר",4157,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אוטיסטים","מינהל מוגבלויות"
1,0,"קרית אונו","יצחק נבון","בית אקשטיין ק.אונו",6594,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אוטיסטים","מינהל מוגבלויות"
1,0,"בית שמש"," ","ידידה בע"מ-בית הזית",6249,"פנימיה לאנשים עם מוגבלות","פנימיה","חוץ ביתי","אוטיסטים","מינהל מוגבלויות"
1,0,"עמק המעיינות","בית אחי''ה","קמ"ה ק מרפאת הרדוף",8304,"פנימיה לאנשים עם מוגבלות","פנימיה","חוץ ביתי","אוטיסטים","מינהל מוגבלויות"
