"סה"כ  מושמים","מספר מושמים  מרשויות אחרות","מספר מושמים  ברשות נבחרת","האם בסכנת  צונאמי","שם שלוחה","שם מסגרת","סמל מסגרת","רשות שולחת","תוכנית","סוג מסגרת","סוג סידור","יחידה אחראית","מינהל"
26,0,26,"לא"," ","מועדון מועשר-תקוע",209332,"גוש עציון","מועדון מועשר","מועדון/מרכז קהילתי","בקהילה","אזרחים ותיקים","מינהל אזרחים ותיקים"
28,0,28,"לא"," ","מועדון מועשר-ג.עציון",211216,"גוש עציון","מועדון מועשר","מועדון/מרכז קהילתי","בקהילה","אזרחים ותיקים","מינהל אזרחים ותיקים"
30,0,30,"לא"," ","מועדון מופ"ת תקוע",214799,"גוש עציון","מועדון מועשר","מועדון/מרכז קהילתי","בקהילה","אזרחים ותיקים","מינהל אזרחים ותיקים"
50,18,32,"לא"," ","קהילה תומכת קשישים",221812,"גוש עציון","קהילה תומכת","סביבה תומכת","בקהילה","אזרחים ותיקים","מינהל אזרחים ותיקים"
29,11,18,"לא"," ","שלווה-מ יום גוש עציו",201629,"גוש עציון","מועדונית לאנשים עם מוגבלות","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
36,29,7,"לא"," ","שילוב באמונה )ע"ר(",207955,"גוש עציון","מרכז יום לבוגרים","מעון יום","בקהילה","אגף משה","מינהל מוגבלויות"
27,22,5,"לא"," ","שילוב באמונה-מע"ש",207084,"גוש עציון","תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
8,2,6,"לא"," ","שמעיה גוש עציון",219527,"גוש עציון","תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","אגף משה","מינהל מוגבלויות"
42,35,7,"לא"," ","שילוב באמונה-בת עין",5414,"גוש עציון","הוסטל לאנשים עם מוגבלות","הוסטל","חוץ ביתי","אגף משה","מינהל מוגבלויות"
4,3,1,"לא","אלעזר","שמעיה",12438,"גוש עציון","מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","אגף משה","מינהל מוגבלויות"
16,11,5,"לא"," ","רמת דוד חינוך מיוחד",213811,"גוש עציון","מעון יום שיקומי","מעון יום","בקהילה","שיקום ונכים","מינהל מוגבלויות"
39,0,39,"לא"," ","מרכז למשפחות גוש עצי",218988,"גוש עציון","מעטפת לאנשים עם מוגבלות","מעטפת","בקהילה","שיקום ונכים","מינהל מוגבלויות"
17,12,5,"לא"," ","סדנת שילוב כפרי",6070,"גוש עציון","מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","שיקום ונכים","מינהל מוגבלויות"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",8645,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","שיקום ונכים","מינהל מוגבלויות"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",11422,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","שיקום ונכים","מינהל מוגבלויות"
80,0,80,"לא"," ","תוכנית להב"ה",212861,"גוש עציון","להב"ה","מועדון/מרכז קהילתי","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
12,0,12,"לא"," ","מועדונית תקוע טיפולי",218293,"גוש עציון","מועדונית לילדים","מועדונית","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
15,0,15,"לא"," ","מועד' משותפת בת עין",222551,"גוש עציון","מועדונית לילדים","מועדונית","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
2,0,2,"לא"," ","מעון יום-כפר עציון",200807,"גוש עציון","מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
11,0,11,"לא"," ","מעון יום מיצד",222187,"גוש עציון","מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
