"גימלאות","מקבלי גימלה","ילדים בישוב","ילדים","בן בת זוג","אזרח וותיק","מקבלי שירות","סוג גימלה","ישוב"
217,217,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","אלון שבות"
114,114,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","תקוע"
104,104,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","נווה דניאל"
100,100,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","הר גילה"
86,86,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","אלעזר"
71,71,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","כפר עציון"
64,64,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","בת עין"
50,50,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","קדר"
47,47,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","תקוע"
46,46,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","נוקדים"
44,44,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","אלון שבות"
41,41,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","תקוע"
40,40,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","תקוע"
39,39,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","נוקדים"
35,35,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","נוקדים"
32,31,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","אלון שבות"
29,29,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","אלון שבות"
29,29,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","אלון שבות"
28,28,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","נווה דניאל"
27,27,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","נוקדים"
27,27,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","תקוע"
26,26,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","תקוע"
25,25,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","אלון שבות"
26,25,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","ראש צורים"
24,24,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","אלעזר"
23,23,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","אלון שבות"
23,23,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","הר גילה"
23,23,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","נווה דניאל"
23,23,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","תקוע"
23,22,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק אלמן","אלון שבות"
22,22,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","אלעזר"
21,21,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","אלון שבות"
21,21,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","אספר"
20,20,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","אלעזר"
20,20,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","מעלה עמוס"
20,20,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","תקוע"
19,19,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","אספר"
19,19,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","קדר"
19,19,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","תקוע"
18,18,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","הר גילה"
18,18,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","נווה דניאל"
